NBlades 2
Blade 0
	npoints 180
	nsections 20
	section 0
		xss rth_ss r xps rth_ps r
		0.040914 -0.057532 0.195030 0.039606 -0.058045 0.195501
		0.040901 -0.057560 0.195031 0.039631 -0.058055 0.195497
		0.040887 -0.057588 0.195033 0.039656 -0.058065 0.195493
		0.040872 -0.057615 0.195035 0.039681 -0.058074 0.195489
		0.040857 -0.057642 0.195037 0.039706 -0.058082 0.195485
		0.040840 -0.057668 0.195039 0.039732 -0.058089 0.195481
		0.040823 -0.057694 0.195041 0.039758 -0.058096 0.195477
		0.040805 -0.057719 0.195043 0.039783 -0.058102 0.195473
		0.040786 -0.057744 0.195045 0.039809 -0.058108 0.195469
		0.040767 -0.057768 0.195047 0.039835 -0.058112 0.195464
		0.040747 -0.057791 0.195050 0.039861 -0.058116 0.195460
		0.040726 -0.057814 0.195052 0.039887 -0.058120 0.195456
		0.040704 -0.057836 0.195055 0.039914 -0.058122 0.195452
		0.040682 -0.057858 0.195058 0.039941 -0.058124 0.195448
		0.040659 -0.057878 0.195060 0.039969 -0.058125 0.195443
		0.040635 -0.057898 0.195063 0.039996 -0.058126 0.195439
		0.040611 -0.057918 0.195066 0.040024 -0.058125 0.195434
		0.040586 -0.057936 0.195069 0.040050 -0.058124 0.195430
		0.040561 -0.057954 0.195072 0.040076 -0.058123 0.195426
		0.040535 -0.057971 0.195075 0.040102 -0.058121 0.195422
		0.040508 -0.057987 0.195079 0.040128 -0.058118 0.195418
		0.040481 -0.058002 0.195082 0.040154 -0.058114 0.195414
		0.040449 -0.058019 0.195086 0.040184 -0.058109 0.195410
		0.040412 -0.058037 0.195090 0.040219 -0.058102 0.195405
		0.040366 -0.058056 0.195096 0.040259 -0.058092 0.195400
		0.040309 -0.058077 0.195103 0.040309 -0.058077 0.195393
	section 1
		xss rth_ss r xps rth_ps r
		0.000198 -0.000404 0.202455 0.000198 -0.000404 0.202455
		0.000202 -0.000363 0.202455 0.000198 -0.000404 0.202455
		0.000214 -0.000271 0.202455 0.000201 -0.000446 0.202455
		0.000229 -0.000178 0.202455 0.000206 -0.000490 0.202455
		0.000252 -0.000066 0.202455 0.000211 -0.000529 0.202455
		0.000275 0.000038 0.202455 0.000219 -0.000573 0.202455
		0.000293 0.000110 0.202455 0.000228 -0.000621 0.202455
		0.000308 0.000166 0.202455 0.000242 -0.000680 0.202455
		0.000327 0.000225 0.202455 0.000256 -0.000738 0.202455
		0.000352 0.000295 0.202455 0.000268 -0.000778 0.202455
		0.000394 0.000400 0.202455 0.000277 -0.000812 0.202455
		0.000485 0.000609 0.202455 0.000285 -0.000839 0.202455
		0.000545 0.000738 0.202455 0.000294 -0.000863 0.202455
		0.000627 0.000899 0.202455 0.000303 -0.000888 0.202455
		0.000734 0.001098 0.202455 0.000314 -0.000914 0.202455
		0.000834 0.001271 0.202455 0.000326 -0.000939 0.202455
		0.000966 0.001483 0.202455 0.000342 -0.000971 0.202455
		0.001094 0.001678 0.202455 0.000361 -0.001006 0.202455
		0.001245 0.001894 0.202455 0.000390 -0.001056 0.202455
		0.001398 0.002101 0.202454 0.000440 -0.001136 0.202455
		0.001568 0.002318 0.202454 0.000487 -0.001207 0.202455
		0.001742 0.002527 0.202454 0.000520 -0.001257 0.202455
		0.001927 0.002739 0.202453 0.000554 -0.001303 0.202455
		0.002117 0.002943 0.202452 0.000597 -0.001359 0.202455
		0.002314 0.003145 0.202451 0.000661 -0.001436 0.202455
		0.002516 0.003341 0.202450 0.000744 -0.001533 0.202455
		0.002722 0.003530 0.202448 0.000811 -0.001607 0.202455
		0.002932 0.003713 0.202446 0.000888 -0.001688 0.202455
		0.003146 0.003889 0.202444 0.001005 -0.001804 0.202455
		0.003361 0.004056 0.202440 0.001120 -0.001913 0.202455
		0.003581 0.004218 0.202437 0.001258 -0.002038 0.202455
		0.003799 0.004369 0.202432 0.001434 -0.002190 0.202454
		0.004024 0.004516 0.202428 0.001642 -0.002361 0.202453
		0.004244 0.004652 0.202422 0.001887 -0.002555 0.202450
		0.004472 0.004783 0.202416 0.002204 -0.002797 0.202445
		0.004694 0.004904 0.202409 0.002609 -0.003097 0.202436
		0.004923 0.005020 0.202401 0.003137 -0.003476 0.202425
		0.005149 0.005127 0.202393 0.003834 -0.003970 0.202411
		0.005378 0.005227 0.202384 0.004550 -0.004477 0.202395
		0.005607 0.005321 0.202373 0.005176 -0.004924 0.202376
		0.005834 0.005406 0.202363 0.005755 -0.005345 0.202355
		0.006070 0.005487 0.202351 0.006304 -0.005749 0.202332
		0.006291 0.005556 0.202340 0.006834 -0.006147 0.202306
		0.006538 0.005626 0.202327 0.007348 -0.006542 0.202278
		0.006751 0.005680 0.202312 0.007852 -0.006936 0.202249
		0.007012 0.005739 0.202299 0.008347 -0.007331 0.202218
		0.007221 0.005780 0.202281 0.008835 -0.007729 0.202186
		0.007491 0.005824 0.202268 0.009317 -0.008130 0.202152
		0.007701 0.005853 0.202249 0.009795 -0.008536 0.202118
		0.008008 0.005886 0.202234 0.010268 -0.008946 0.202082
		0.008176 0.005901 0.202208 0.010738 -0.009362 0.202046
		0.008344 0.005910 0.202198 0.011204 -0.009784 0.202009
		0.008732 0.005919 0.202189 0.011668 -0.010211 0.201971
		0.008943 0.005919 0.202143 0.012129 -0.010646 0.201932
		0.009218 0.005910 0.202132 0.012588 -0.011086 0.201894
		0.009456 0.005897 0.202116 0.013045 -0.011534 0.201855
		0.009650 0.005880 0.202089 0.013500 -0.011988 0.201816
		0.009983 0.005843 0.202070 0.013953 -0.012449 0.201777
		0.010243 0.005806 0.202043 0.014404 -0.012918 0.201737
		0.010499 0.005763 0.202022 0.014853 -0.013393 0.201698
		0.010754 0.005712 0.201995 0.015301 -0.013876 0.201659
		0.011040 0.005648 0.201971 0.015747 -0.014366 0.201619
		0.011325 0.005575 0.201944 0.016191 -0.014863 0.201581
		0.011601 0.005496 0.201918 0.016633 -0.015368 0.201542
		0.011902 0.005402 0.201892 0.017074 -0.015879 0.201503
		0.012182 0.005306 0.201863 0.017513 -0.016398 0.201464
		0.012487 0.005192 0.201836 0.017951 -0.016924 0.201426
		0.012790 0.005070 0.201806 0.018386 -0.017457 0.201388
		0.013093 0.004938 0.201778 0.018821 -0.017997 0.201351
		0.013415 0.004787 0.201748 0.019253 -0.018544 0.201313
		0.013734 0.004628 0.201717 0.019683 -0.019099 0.201276
		0.014058 0.004456 0.201686 0.020112 -0.019660 0.201239
		0.014394 0.004266 0.201654 0.020538 -0.020227 0.201202
		0.014736 0.004061 0.201621 0.020963 -0.020802 0.201165
		0.015078 0.003843 0.201588 0.021386 -0.021383 0.201129
		0.015427 0.003610 0.201555 0.021807 -0.021971 0.201093
		0.015784 0.003357 0.201520 0.022225 -0.022565 0.201057
		0.016151 0.003084 0.201484 0.022642 -0.023166 0.201020
		0.016523 0.002793 0.201448 0.023057 -0.023773 0.200984
		0.016901 0.002482 0.201410 0.023469 -0.024386 0.200949
		0.017285 0.002151 0.201372 0.023879 -0.025005 0.200913
		0.017674 0.001798 0.201333 0.024287 -0.025630 0.200877
		0.018069 0.001423 0.201293 0.024693 -0.026261 0.200841
		0.018471 0.001025 0.201251 0.025097 -0.026897 0.200804
		0.018877 0.000603 0.201209 0.025498 -0.027539 0.200768
		0.019289 0.000156 0.201166 0.025897 -0.028187 0.200732
		0.019705 -0.000316 0.201121 0.026293 -0.028840 0.200696
		0.020127 -0.000815 0.201075 0.026687 -0.029499 0.200660
		0.020551 -0.001340 0.201029 0.027079 -0.030162 0.200624
		0.020978 -0.001891 0.200981 0.027468 -0.030831 0.200587
		0.021410 -0.002471 0.200933 0.027854 -0.031505 0.200551
		0.021842 -0.003078 0.200884 0.028238 -0.032183 0.200514
		0.022277 -0.003714 0.200834 0.028619 -0.032866 0.200478
		0.022713 -0.004378 0.200783 0.028998 -0.033554 0.200442
		0.023150 -0.005072 0.200732 0.029374 -0.034246 0.200405
		0.023587 -0.005795 0.200680 0.029748 -0.034943 0.200369
		0.024024 -0.006549 0.200628 0.030118 -0.035643 0.200332
		0.024461 -0.007333 0.200576 0.030486 -0.036348 0.200296
		0.024897 -0.008148 0.200524 0.030851 -0.037057 0.200260
		0.025332 -0.008995 0.200471 0.031214 -0.037770 0.200224
		0.025767 -0.009875 0.200419 0.031573 -0.038486 0.200188
		0.026200 -0.010789 0.200366 0.031930 -0.039207 0.200152
		0.026634 -0.011740 0.200313 0.032284 -0.039930 0.200116
		0.027067 -0.012728 0.200260 0.032634 -0.040657 0.200080
		0.027501 -0.013758 0.200207 0.032982 -0.041388 0.200045
		0.027937 -0.014832 0.200154 0.033327 -0.042121 0.200009
		0.028376 -0.015954 0.200100 0.033669 -0.042858 0.199974
		0.028820 -0.017128 0.200046 0.034007 -0.043597 0.199939
		0.029270 -0.018362 0.199991 0.034343 -0.044339 0.199904
		0.029729 -0.019660 0.199935 0.034675 -0.045083 0.199870
		0.030200 -0.021028 0.199878 0.035004 -0.045830 0.199835
		0.030684 -0.022473 0.199818 0.035329 -0.046579 0.199801
		0.031183 -0.023998 0.199757 0.035651 -0.047330 0.199767
		0.031700 -0.025601 0.199694 0.035970 -0.048084 0.199733
		0.032233 -0.027280 0.199628 0.036285 -0.048838 0.199700
		0.032781 -0.029021 0.199561 0.036597 -0.049595 0.199667
